strategy_id,admission_action,window_pass_count,window_count,turnover_fail_count,missing_window_count,industry_concentration_window_count,industry_diagnostic_missing_window_count,factor_diagnostic_missing_window_count,price_adjustment_fail_window_count,overfit_risk_level,overfit_score,parameter_unique_total,parameter_unstable_window_count,supports_paper_trade,main_reasons
core_selection_quality_momentum_v1,reject,0,1,1,0,1,0,1,0,high,72,2,0,True,overfit risk is high; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; factor diagnostics are required but not available in one or more windows; positive fold ratio below 75% in one or more windows
legacy_momentum,reject,0,1,1,0,1,0,0,0,critical,100,1,0,True,overfit risk is critical; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
legacy_momentum_low_turnover_v1,reject,0,1,0,0,1,0,0,0,medium,47,2,0,True,industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
low_vol_low_turnover_quality_v1,reject,0,1,0,0,1,0,0,0,medium,32,2,0,True,industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
ma_kline_baseline_v1,reject,0,1,1,0,1,0,0,0,critical,100,2,0,True,overfit risk is critical; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
multifactor_volume_price_filter_v1,reject,0,1,1,0,1,0,1,0,critical,100,2,0,True,overfit risk is critical; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; factor diagnostics are required but not available in one or more windows; positive fold ratio below 75% in one or more windows
quality_growth_price_v1,reject,0,1,1,0,1,0,1,0,critical,85,2,0,True,overfit risk is critical; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; factor diagnostics are required but not available in one or more windows; positive fold ratio below 75% in one or more windows
quality_low_turnover_monthly_v1,reject,0,1,0,0,1,0,0,0,medium,32,2,0,True,industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
residual_momentum_reversal_v1,reject,0,1,1,0,1,0,0,0,critical,100,1,0,True,overfit risk is critical; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
residual_momentum_reversal_v2,reject,0,1,1,0,1,0,0,0,critical,100,2,0,True,overfit risk is critical; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
sleeve_composite_v1,reject,0,1,1,0,1,0,0,0,critical,100,1,0,True,overfit risk is critical; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
theme_exposure_momentum_v1,reject,0,1,1,0,1,0,0,0,high,72,2,0,True,overfit risk is high; annual turnover exceeds threshold in one or more windows; industry concentration exceeds audit threshold in one or more windows; positive fold ratio below 75% in one or more windows
