intelligence_id,title,source_type,source_path_or_url,published_at,collected_at,market_scope,topic_tags,strategy_tags,evidence_type,quality_score,novelty_score,actionability_score,data_availability,bias_risk,recommended_action,status,linked_strategy_task,reviewed_at
INT-AUTO-e784f7c0dc0f,A股有效量化策略综合调研报告,paper,refdocs/papers/cn/A股有效量化策略报告.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-f47f4f8d9acf,中文 A股量化投资策略参考文献,paper,refdocs/papers/cn/cn_INDEX.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-3f2173640af0,A 股有效量化策略报告｜术语解读词典,paper,refdocs/papers/cn/glossary/a_share_quant_strategy_glossary.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-36caec8a3118,基于机器学习的股票收益预测与投资组合研究,paper,refdocs/papers/cn/markdown/cn01_ml_stock_return_portfolio.md,,2026-06-23,,machine-learning;portfolio,ml-ranking;portfolio-construction,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-10774ca7de8c,宏观背景下运用多因子模型的投资策略研究,paper,refdocs/papers/cn/markdown/cn02_macro_multifactor_investment_strategy.md,,2026-06-23,,multifactor,factor-model,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-762960b72883,基于支持向量机模型的多因子量化选股策略,paper,refdocs/papers/cn/markdown/cn03_svm_multifactor_hs300.md,,2026-06-23,,machine-learning;multifactor,ml-ranking;factor-model,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-9fc68413088f,考虑股市网络因子的多因子选股策略研究,paper,refdocs/papers/cn/markdown/cn04_network_factor_a_share.md,,2026-06-23,,multifactor,factor-model,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-eb53d850786e,基于机器学习和资产特征的投资组合选择研究,paper,refdocs/papers/cn/markdown/cn05_ml_asset_characteristics_portfolio.md,,2026-06-23,,machine-learning;portfolio,ml-ranking;portfolio-construction,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-fbe94a7b039e,基于LSTM预测信息的在线融资融券组合交易策略,paper,refdocs/papers/cn/markdown/cn06_lstm_margin_trading_strategy.md,,2026-06-23,,deep-learning;portfolio,ml-baseline;portfolio-construction,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-2c9621bb35b9,基于双重选择LASSO模型的我国股市定价因子边际有效性研究,paper,refdocs/papers/cn/markdown/cn07_lasso_pricing_factors_china.md,,2026-06-23,,multifactor,factor-model,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-2c3538ca1299,分析师前瞻性信息对股票投资收益的影响——基于文本分析的量化研究,paper,refdocs/papers/cn/markdown/cn08_analyst_text_quant_strategy.md,,2026-06-23,,sentiment,text-event,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-e44766473f3f,基于支持向量机的多因子融合量价数据的选股策略的研究,paper,refdocs/papers/cn/markdown/cn09_svm_price_volume_cs1000.md,,2026-06-23,,machine-learning;multifactor,ml-ranking;factor-model,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-ef059f09a257,基于均线与K线指标的量化投资策略,paper,refdocs/papers/cn/markdown/cn10_ma_kline_a_share_strategy.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-8ec295e8d3a8,基于机器学习的股票收益预测与投资组合研究,paper,https://www.hanspub.org/journal/PaperInformation?paperID=84203,2024,2026-06-23,上证50 / A股,machine-learning;portfolio,ml-ranking;portfolio-construction,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-7d182f37f768,宏观背景下运用多因子模型的投资策略研究,paper,https://pdf.hanspub.org/fin2024144_331141103.pdf,2024,2026-06-23,中国股票市场 / A股,multifactor,factor-model,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-6f8ea17e0b54,基于支持向量机模型的多因子量化选股策略,paper,https://www.hanspub.org/journal/PaperInformation?paperID=94749,2024,2026-06-23,沪深300 / A股,multifactor,factor-model,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-33b5e9b0783d,考虑股市网络因子的多因子选股策略研究,paper,https://www.hanspub.org/journal/PaperInformation?paperID=94864,2024,2026-06-23,中国A股市场,multifactor,factor-model,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-2283af677a2a,基于机器学习和资产特征的投资组合选择研究,paper,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2023-1784,2024,2026-06-23,中国股票市场,machine-learning;portfolio,ml-ranking;portfolio-construction,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-2e727590f047,基于LSTM预测信息的在线融资融券组合交易策略,paper,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2022-0819,2024,2026-06-23,中国股票市场 / 融资融券,deep-learning;portfolio,ml-baseline;portfolio-construction,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-add0eb4dfa68,基于双重选择LASSO模型的我国股市定价因子边际有效性研究,paper,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2023-0831,2024,2026-06-23,我国股市 / A股,,,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-a6931dbccb5d,分析师前瞻性信息对股票投资收益的影响——基于文本分析的量化研究,paper,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2022-2601,2024,2026-06-23,中国股票市场,sentiment,text-event,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-0d84cd03c5e0,基于支持向量机的多因子融合量价数据的选股策略的研究,paper,https://www.hanspub.org/journal/PaperInformation?paperID=94402,2024,2026-06-23,中证1000 / A股,multifactor,factor-model,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-d6aa44b0974e,基于均线与K线指标的量化投资策略,paper,https://www.hanspub.org/journal/PaperInformation?paperID=95273,2024,2026-06-23,A股市场,,,local_csv,,,,,,screen,collected,T5.2,
INT-AUTO-f4e1e44fd8c8,cn01 ml stock return portfolio,paper,refdocs/papers/cn/pdfs/cn01_ml_stock_return_portfolio.pdf,,2026-06-23,,portfolio,portfolio-construction,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-51eba7e4d8eb,cn02 macro multifactor investment strategy,paper,refdocs/papers/cn/pdfs/cn02_macro_multifactor_investment_strategy.pdf,,2026-06-23,,multifactor,factor-model,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-7323ac776703,cn03 svm multifactor hs300,paper,refdocs/papers/cn/pdfs/cn03_svm_multifactor_hs300.pdf,,2026-06-23,,machine-learning;multifactor,ml-ranking;factor-model,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-44742fd5c4c7,cn04 network factor a share,paper,refdocs/papers/cn/pdfs/cn04_network_factor_a_share.pdf,,2026-06-23,,multifactor,factor-model,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-53b0221a2df4,cn05 ml asset characteristics portfolio,paper,refdocs/papers/cn/pdfs/cn05_ml_asset_characteristics_portfolio.pdf,,2026-06-23,,portfolio,portfolio-construction,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-325408c4d649,cn06 lstm margin trading strategy,paper,refdocs/papers/cn/pdfs/cn06_lstm_margin_trading_strategy.pdf,,2026-06-23,,deep-learning,ml-baseline,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-1f96977077c1,cn07 lasso pricing factors china,paper,refdocs/papers/cn/pdfs/cn07_lasso_pricing_factors_china.pdf,,2026-06-23,,multifactor,factor-model,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-ea87505533ba,cn08 analyst text quant strategy,paper,refdocs/papers/cn/pdfs/cn08_analyst_text_quant_strategy.pdf,,2026-06-23,,sentiment,text-event,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-2a5e9bbf0090,cn09 svm price volume cs1000,paper,refdocs/papers/cn/pdfs/cn09_svm_price_volume_cs1000.pdf,,2026-06-23,,machine-learning,ml-ranking,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-dfa64c1c73b2,cn10 ma kline a share strategy,paper,refdocs/papers/cn/pdfs/cn10_ma_kline_a_share_strategy.pdf,,2026-06-23,,,,local_pdf,,,,,,screen,collected,T5.2,
INT-AUTO-33891419f9e9,Stock Quantitative Investment Strategy Reference Papers (2024+),paper,refdocs/papers/en/INDEX.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-b4401131169f,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,paper,refdocs/papers/en/markdown/01_master_market_guided_stock_transformer.md,,2026-06-23,,deep-learning,ml-baseline,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-d709f994c366,MDGNN: Multi-Relational Dynamic Graph Neural Network for Comprehensive and Dynamic Stock Investment Prediction,paper,refdocs/papers/en/markdown/02_mdgnn_stock_investment_prediction.md,,2026-06-23,,deep-learning,ml-baseline,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-82ef2262175f,StockMixer: A Simple Yet Strong MLP-Based Architecture for Stock Price Forecasting,paper,refdocs/papers/en/markdown/03_stockmixer_mlp_stock_forecasting.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-f05dde1ef9f9,Deep-learning-based stock market prediction incorporating ESG sentiment and technical indicators,paper,refdocs/papers/en/markdown/04_esg_sentiment_technical_indicators.md,,2026-06-23,,sentiment,text-event,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-3f49c95da89c,Algorithmic Trading and AI: A Review of Strategies and Market Impact,paper,refdocs/papers/en/markdown/05_algorithmic_trading_ai_review.md,,2026-06-23,,,,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-e2a51af4df5d,Enhancing portfolio management using artificial intelligence: literature review,paper,refdocs/papers/en/markdown/06_ai_portfolio_management_review.md,,2026-06-23,,portfolio,portfolio-construction,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-cba176375db1,Forecasting relative returns for S&P 500 stocks using machine learning,paper,refdocs/papers/en/markdown/07_sp500_relative_returns_ml.md,,2026-06-23,,machine-learning,ml-ranking,local_markdown,,,,,,screen,collected,T5.2,
INT-AUTO-760ea2f3b771,Machine learning-based analysis of volatility quantitative investment strategies for American financial stocks,paper,refdocs/papers/en/markdown/08_volatility_quant_investment_strategies.md,,2026-06-23,,machine-learning;volatility,ml-ranking;volatility-overlay,local_markdown,,,,,,screen,collected,T5.2,
