category,interface,name,project_module,source_html,linked_intelligence,status
宏观经济,cn_gdp,国内生产总值（GDP）,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,cn_cpi,居民消费价格指数（CPI）,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,cn_ppi,工业生产者出厂价格指数（PPI）,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,shibor,上海银行间同业拆放利率（Shibor）,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,shibor_lpr,贷款市场报价利率（LPR）,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,cn_m,货币供应量（M0/M1/M2）,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,sf_month,社会融资规模,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,fx_daily,人民币汇率,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,eco_cal,全球财经日历,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,index_global,全球主要指数,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,fut_daily,期货日线行情,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
宏观经济,sge_daily,上海黄金现货行情,市场环境数据层 / 宏观与跨市场风险诊断,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
政策监管,npr,国家政策库,文本事件与政策诊断层 / 风险事件过滤,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
政策监管,stk_alert,交易所重点监控,文本事件与政策诊断层 / 风险事件过滤,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
政策监管,stk_shock,个股异常波动,文本事件与政策诊断层 / 风险事件过滤,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
政策监管,stk_high_shock,个股严重异常波动,文本事件与政策诊断层 / 风险事件过滤,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
政策监管,major_news,财经新闻（长篇）,文本事件与政策诊断层 / 风险事件过滤,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
行业景气度,sw_daily,申万行业指数,板块轮动特征层 / 行业相对强弱,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
行业景气度,ci_daily,中信行业指数,板块轮动特征层 / 行业相对强弱,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,moneyflow_hsgt,沪深港通资金流向,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,hsgt_top10,沪深股通十大成交股,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,hk_hold,沪深股通持股明细,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,fund_portfolio,公募基金持仓,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
资金面,hm_detail,游资交易明细,资金流诊断层 / 北向、基金、融资、ETF、游资,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,INT-KMS-001,candidate_data_interface
