intelligence_id,title,source_type,source_path_or_url,published_at,collected_at,market_scope,topic_tags,strategy_tags,evidence_type,quality_score,novelty_score,actionability_score,data_availability,bias_risk,recommended_action,status,linked_strategy_task,reviewed_at
"INT-CN-001","基于机器学习的股票收益预测与投资组合研究","paper","refdocs/papers/cn/markdown/cn01_ml_stock_return_portfolio.md","2024","2026-06-07","上证50 / A股","machine-learning;portfolio","ml-ranking;portfolio-construction","academic-backtest","3","3","3","partial","sample-size;overfit;index-scope","screen_for_candidate_pool","screened","T2.5;T2.6","2026-06-07"
"INT-CN-002","宏观背景下运用多因子模型的投资策略研究","paper","refdocs/papers/cn/markdown/cn02_macro_multifactor_investment_strategy.md","2024","2026-06-07","中国股票市场 / A股","macro;multifactor","macro-overlay;factor-model","academic-backtest","3","2","3","partial","macro-timing;regime-overfit","use_as_overlay_reference","screened","T2.10","2026-06-07"
"INT-CN-003","基于支持向量机模型的多因子量化选股策略","paper","refdocs/papers/cn/markdown/cn03_svm_multifactor_hs300.md","2024","2026-06-07","沪深300 / A股","svm;multifactor","ml-ranking;factor-selection","academic-backtest","3","3","3","ready","overfit;parameter-instability","translate_to_experiment_plan","evaluated","T2.5","2026-06-07"
"INT-CN-004","考虑股市网络因子的多因子选股策略研究","paper","refdocs/papers/cn/markdown/cn04_network_factor_a_share.md","2024","2026-06-07","中国A股市场","network;multifactor","relation-factor;graph-factor","academic-backtest","3","4","2","missing","network-definition;lookahead-relation","keep_research_only_until_relation_data","screened","T2.10","2026-06-07"
"INT-CN-005","基于机器学习和资产特征的投资组合选择研究","paper","refdocs/papers/cn/markdown/cn05_ml_asset_characteristics_portfolio.md","2024","2026-06-07","中国股票市场","asset-characteristics;portfolio","quality-factor;portfolio-construction","academic-backtest","4","3","4","partial","feature-leakage;portfolio-turnover","translate_to_quality_strategy_review","evaluated","T2.6;T2.7","2026-06-07"
"INT-CN-006","基于LSTM预测信息的在线融资融券组合交易策略","paper","refdocs/papers/cn/markdown/cn06_lstm_margin_trading_strategy.md","2024","2026-06-07","中国股票市场 / 融资融券","lstm;margin-trading","sequence-model;long-short","academic-backtest","3","3","1","external_required","margin-constraint;execution-reality;model-overfit","archive_research_only","archived","","2026-06-07"
"INT-CN-007","基于双重选择LASSO模型的我国股市定价因子边际有效性研究","paper","refdocs/papers/cn/markdown/cn07_lasso_pricing_factors_china.md","2024","2026-06-07","我国股市 / A股","lasso;factor-pricing","factor-selection;redundancy-control","academic-factor-test","4","4","5","ready","factor-zoo;selection-bias","use_for_factor_effectiveness_design","evaluated","T2.5","2026-06-07"
"INT-CN-008","分析师前瞻性信息对股票投资收益的影响--基于文本分析的量化研究","paper","refdocs/papers/cn/markdown/cn08_analyst_text_quant_strategy.md","2024","2026-06-07","中国股票市场","analyst-text;text-factor","text-event;pead;analyst-signal","academic-backtest","4","4","2","external_required","text-lag;coverage;license-risk","wait_for_text_event_layer","screened","T1.3;T2.10","2026-06-07"
"INT-CN-009","基于支持向量机的多因子融合量价数据的选股策略的研究","paper","refdocs/papers/cn/markdown/cn09_svm_price_volume_cs1000.md","2024","2026-06-07","中证1000 / A股","svm;price-volume","ml-ranking;volume-price-factor","academic-backtest","3","3","4","ready","small-cap-liquidity;overfit","translate_to_experiment_plan","evaluated","T2.5","2026-06-07"
"INT-CN-010","基于均线与K线指标的量化投资策略","paper","refdocs/papers/cn/markdown/cn10_ma_kline_a_share_strategy.md","2024","2026-06-07","A股市场","ma;kline;technical","rule-baseline;technical-factor","academic-backtest","2","1","4","ready","data-snooping;weak-economic-rationale","keep_as_baseline_only","evaluated","T2.1","2026-06-07"
"INT-EN-001","MASTER: Market-Guided Stock Transformer for Stock Price Forecasting","paper","refdocs/papers/en/markdown/01_master_market_guided_stock_transformer.md","2024","2026-06-07","international equities","transformer;market-guided","deep-learning;forecasting","top-conference","5","5","2","partial","complexity;compute;sample-regime","research_only_phase3","screened","T2.10","2026-06-07"
