strategy_id,admission_action,window_pass_count,window_count,turnover_fail_count,missing_window_count,industry_concentration_window_count,overfit_risk_level,overfit_score,parameter_unique_total,parameter_unstable_window_count,main_reasons
core_selection_quality_momentum_v1,reject,0,1,1,0,0,critical,95,3,1,overfit risk is critical; annual turnover exceeds threshold in one or more windows; selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
legacy_momentum,reject,0,1,1,0,0,critical,100,1,0,overfit risk is critical; annual turnover exceeds threshold in one or more windows; positive fold ratio below 75% in one or more windows
legacy_momentum_low_turnover_v1,reject,0,1,0,0,0,medium,45,2,0,positive fold ratio below 75% in one or more windows
low_vol_low_turnover_quality_v1,reject,0,1,0,0,0,medium,42,3,1,selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
ma_kline_baseline_v1,reject,0,1,1,0,0,critical,100,3,1,overfit risk is critical; annual turnover exceeds threshold in one or more windows; selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
multifactor_volume_price_filter_v1,reject,0,1,1,0,0,critical,100,3,1,overfit risk is critical; annual turnover exceeds threshold in one or more windows; selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
quality_growth_price_v1,reject,0,1,1,0,0,critical,85,2,0,overfit risk is critical; annual turnover exceeds threshold in one or more windows; positive fold ratio below 75% in one or more windows
quality_low_turnover_monthly_v1,reject,0,1,0,0,0,medium,42,3,1,selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
residual_momentum_reversal_v1,reject,0,1,1,0,0,critical,100,3,1,overfit risk is critical; annual turnover exceeds threshold in one or more windows; selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
residual_momentum_reversal_v2,reject,0,1,1,0,0,critical,100,3,1,overfit risk is critical; annual turnover exceeds threshold in one or more windows; selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
theme_exposure_momentum_v1,reject,0,1,1,0,0,critical,95,3,1,overfit risk is critical; annual turnover exceeds threshold in one or more windows; selected parameters change too frequently in one or more windows; positive fold ratio below 75% in one or more windows
