信号日期,盘前检查时间,交易动作,策略信号动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,成交价口径,最大成交参与率,执行风险提示,连续模拟说明,观察理由,策略参数
2026-06-08,2026-06-09 07:30,关注加仓,继续持有,SZ.300433,蓝思科技,42.64,2.70%,5.17%,2.47%,0.3835,5,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓2.70%调整到5.17%,排名进入买入前5；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注加仓,继续持有,SH.600183,生益科技,134.06,2.45%,5.04%,2.59%,0.6024,1,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓2.45%调整到5.04%,排名进入买入前5；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注买入,继续持有,SH.600584,长电科技,70.30,0.00%,4.15%,4.15%,0.2592,12,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓0.00%调整到4.15%,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注加仓,继续持有,SH.603256,宏和科技,188.56,1.95%,3.94%,1.99%,0.2572,13,23,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓1.95%调整到3.94%,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注加仓,继续持有,SH.601991,大唐发电,7.27,1.70%,3.46%,1.76%,0.1938,16,3,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓1.70%调整到3.46%,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注卖出,候选观察,SZ.002028,思源电气,177.59,3.13%,0.00%,-3.13%,-0.0947,60,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓3.13%调整到0.00%,动量分数跌破持有阈值；排名跌出持有前10；已持有0个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注卖出,候选观察,SZ.300058,蓝色光标,15.05,2.72%,0.00%,-2.72%,-0.2050,96,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓2.72%调整到0.00%,动量分数跌破持有阈值；排名跌出持有前10；已持有0个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注卖出,候选观察,SZ.002353,杰瑞股份,147.22,2.70%,0.00%,-2.70%,0.0173,39,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓2.70%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注卖出,候选观察,SZ.300394,天孚通信,425.11,2.38%,0.00%,-2.38%,0.2808,9,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓2.38%调整到0.00%,已持有0个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注卖出,候选观察,SZ.300408,三环集团,122.92,2.35%,0.00%,-2.35%,0.3933,4,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓2.35%调整到0.00%,已持有0个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,关注卖出,候选观察,SH.688183,生益电子,112.11,1.72%,0.00%,-1.72%,0.0623,27,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,连续模拟从2026-06-05持仓1.72%调整到0.00%,排名跌出持有前10；已持有0个交易日,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-06-08,2026-06-09 07:30,候选观察,候选观察,SZ.000725,京东方Ａ,6.29,0.00%,0.00%,0.00%,0.5012,2,0,next_open,5.00%,未发现明显执行阻碍，仍需开盘确认价格和成交量,未进入连续模拟持仓，仅保留观察,排名进入买入前5；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
