corpus_id,path,doc_type,trust_level,intelligence_id,source_path_or_url,tags,linked_tasks,status,last_reviewed
RAG-INT-LEDGER,knowledge/intelligence/strategy_intelligence_ledger.csv,ledger,curated,,knowledge/intelligence/strategy_intelligence_ledger.csv,"ledger;status;score;T5.2",T5.2,active,2026-06-23
RAG-INT-CN-005-NOTE,knowledge/intelligence/notes/INT-CN-005_ml_asset_characteristics_portfolio.md,note,curated,INT-CN-005,refdocs/papers/cn/markdown/cn05_ml_asset_characteristics_portfolio.md,"a_share;portfolio-construction;asset-characteristics;trading-friction;T2.6;T2.7",T2.6;T2.7;T5.2,evaluated,2026-06-23
RAG-INT-CN-007-NOTE,knowledge/intelligence/notes/INT-CN-007_lasso_pricing_factors_china.md,note,curated,INT-CN-007,refdocs/papers/cn/markdown/cn07_lasso_pricing_factors_china.md,"a_share;factor-selection;redundancy-control;overfit;T2.5",T2.5;T2.8;T5.2,evaluated,2026-06-23
RAG-INT-CN-008-NOTE,knowledge/intelligence/notes/INT-CN-008_analyst_text_quant_strategy.md,note,curated,INT-CN-008,refdocs/papers/cn/markdown/cn08_analyst_text_quant_strategy.md,"a_share;text-event;analyst-signal;data-license;T1.3;T2.10",T1.3;T2.10;T5.2,screened,2026-06-23
RAG-INT-CN-007-TRANS,knowledge/intelligence/strategy_translations/INT-CN-007_factor_effectiveness_strategy_task.md,translation,derived,INT-CN-007,refdocs/papers/cn/markdown/cn07_lasso_pricing_factors_china.md,"factor-diagnostic;strategy-admission;redundancy-control;T2.5",T2.5;T2.8;T5.2,draft,2026-06-23
RAG-INT-MONTHLY-2026-06-A,knowledge/intelligence/monthly/strategy_intelligence_scan_2026-06_a_share.md,monthly_scan,candidate,,data/intelligence/inbox/a_share_strategy_intelligence_candidates_2026-06-10.csv,"monthly-scan;a_share;candidate;T5.2",T5.2,screened,2026-06-23
RAG-INT-WIKI-A-SHARE,knowledge/intelligence/wiki/a_share_quant_strategy_intelligence_cn.md,wiki,curated,,knowledge/intelligence/strategy_intelligence_ledger.csv,"a_share;wiki;factor-selection;portfolio-construction;text-event",T2.5;T2.6;T2.7;T2.10;T5.2,active,2026-06-23
RAG-INT-KMS-001-NOTE,knowledge/intelligence/notes/INT-KMS-001_a_share_factor_panorama.md,note,curated,INT-KMS-001,/home/zj/workspace/KMS/My_logseq/pages/A股个股行情影响因子全景图.md,"a_share;factor-taxonomy;market-regime;data-source-mapping;text-event",T1.3;T2.5;T2.10;T5.2,screened,2026-06-23
RAG-INT-KMS-001-ASSET,knowledge/intelligence/wiki/a_share_factor_data_interface_knowledge_asset.md,wiki,curated,INT-KMS-001,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,"a_share;data-interface-map;tushare;market-regime;factor-taxonomy",T1.3;T2.5;T2.10;T5.2,active,2026-06-23
RAG-INT-KMS-001-INDEX,knowledge/intelligence/wiki/a_share_factor_data_interface_index.csv,index,derived,INT-KMS-001,/home/zj/workspace/brainstorm/modules/marklogseq/html-site/index.html,"a_share;interface-index;tushare;machine-readable",T1.3;T2.5;T2.10;T5.2,active,2026-06-23
